ID	cpf	nome	sobrenome	idgenero	estado_civil	idade	uf	escolaridade	indcliente	MES	ANO
1	123.456.789-01	     Alice	Alves	Feminino	3	25	SE	11	0	05	2024
2	234.567.001-12	Ana	Amaral	Feminino	2	56	CE	6	1	05	2024
3	345.678.002-23	           Aline	Abreu	f	1	38	PE	3	1	05	2024
4	456.789.003-34	Amanda	Andrade	f	6	72	BA	7	1	05	2024
5	567.890.004-45	Adriana	            Araújo	Feminino	4	29	MA	5	1	05	2024
6	678.901.005-56	Alessandra	Aguiar	Bigênero	5	45	RN	5	1	05	2024
7	789.012.006-67	Alana	Almeida	Feminino	3	28	AL	2	1	05	2024
8	890.123.007-78	Alícia	Azevedo	f	2	34	PI	6	0	05	2024
9	901.234.008-89	Andreia	Amorim	f	6	81	PB	1	0	05	2024
10	012.345.009-90	Antônia	Alencar	f	2	44	CE	6	0	05	2024
11	             098.765.010-10	Ayla	Antunes	f	4	43	RN	9	0	05	2024
12	210.987.011-32	Angélica	Assis	           f	5	50	BA	7	0	05	2024
13	321.098.012-43	Ariana	Alvim	f	2	56	PE	4	0	05	2024
14	432.109.013-54	Agatha	Abraão	Bigênero	6	37	PI	7	1	05	2024
15	543.210.014-65	Abigail	Aires	Bigênero	1	59	            AL	6	1	05	2024
16	654.321.015-76	Adeline	Albuquerque	Bigênero	4	28	PB	2	1	05	2024
17	765.432.016-87	Adrielle	Augusto	Bigênero	3	64	SE	6	1	05	2024
18	876.543.017-98	Alcione	Aquino	Feminino	5	49	MA	3	1	05	2024
19	987.654.018-09	Alcina	Arruda	Feminino	6	73	PE	1	1	05	2024
20	090.123.019-78	             Alexandra	Arantes	Feminino	2	32	RN	5	0	05	2024
21	           111.222.020-44	Alcira	           Agostinho	Feminino	2	32	RN	5	0	05	2024
22	222.333.021-55	Amélia	Agostini	Bigênero	2	32	RN	5	0	05	2024
23	333.444.022-66	Ana Beatriz	Abade	Feminino	2	32	RN	5	0	05	2024
24	444.555.023-77	Ana Carolina	Anjos	Feminino	2	32	RN	5	0	05	2024
25	555.666.024-88	Ana Clara	Arauto	Feminino	2	32	RN	5	0	05	2024
26	666.777.025-99	Ana Júlia	         Alcântara	Feminino	2	32	RN	5	0	05	2024
27	777.888.026-00	Ana Laura	Amabile	f	2	32	RN	5	0	05	2024
28	888.999.027-11	Ana Lúcia	Amoroso	Feminino	2	32	RN	5	0	05	2024
29	              999.000.028-22	Ana Luiza	Amorim	Feminino	2	32	RN	5	0	05	2024
30	000.111.029-33	Ana Paula	Andriotti	Agênero	2	32	RN	5	0	05	2024
31	123.234.030-56	Ana Sofia	Assumpção	Feminino	2	55	MA	5	0	05	2024
32	234.345.031-67	Andreza	Amarante	Fem	4	78	BA	1	0	05	2024
33	            345.456.032-78	Angelina	Alcides	Feminino	6	66	         SE	6	0	05	2024
34	456.567.033-89	Angélica	Amaro	Fem	1	35	PB	6	0	05	2024
35	567.678.034-90	Aniele	Almirante	Feminino	3	70	        PE	6	0	05	2024
36	678.789.035-01	         Anabela	Alves	Fem	5	27	PI	9	0	05	2024
37	789.890.036-12	Aparecida	Azevedo	Feminino	6	52	RN	4	0	05	2024
38	890.901.037-23	Arlete	Albino	Fem	4	74	SE	3	0	05	2024
39	901.012.038-34	Ariadne	Afonso	Agênero	2	21	AL	5	0	05	2024
40	012.123.039-45	Ariane	Alves	Fem	3	42	CE	6	0	05	2024
41	234.345.040-67	Arlete	Agra	Feminino	5	60	MA	7	0	05	2024
42	345.456.041-78	Arminda	Avila	Fem	1	88	PB	7	0	05	2024
43	456.567.042-89	Atena	Avila	Fem	2	30	BA	2	0	05	2024
44	567.678.043-90	Aurora	Aguirre	Fem	4	75	PE	1	0	05	2024
45	678.789.044-01	Ayla	Albieri	Feminino	2	50	PI	5	0	05	2024
46	789.890.045-12	Aysla	Abdo	Fem	5	83	PB	6	0	05	2024
47	890.901.046-23	Azenith	Adorno	Feminino	3	58	AL	7	0	05	2024
48	901.012.047-34	Abgail	Antunes	Feminino	1	43	CE	6	0	05	2024
49	012.123.048-45	Abílio	Albuquerque	Feminino	4	38	PB	6	0	05	2024
50	123.234.049-56	Abra	Amado	Feminino	5	26	MA	3	0	05	2024
51	345.456.050-78	Abraça	Teixeira	Feminino	2	67	RN	9	0	05	2024
52	456.567.051-89	Acácia	Torres	Feminino	3	48	PI	4	0	05	2024
53	567.678.052-90	Acenda	Tavares	Feminino	2	71	BA	5	0	05	2024
54	678.789.053-01	Adalene	Trindade	Feminino	2	87	PE	7	0	05	2024
55	789.890.054-12	Adelaide	Toledo	Feminino	1	39	SE	2	0	05	2024
56	890.901.055-23	Adeline	Três	Feminino	1	39	SE	2	0	05	2024
57	901.012.056-34	Adélia	Tomaz	Agênero	1	39	SE	2	0	05	2024
58	012.123.057-45	Adelina	Terra	f	1	39	SE	2	0	05	2024
59	123.234.058-56	Adrielle	Teles	f	3	29	MA	5	0	05	2024
60	234.345.059-67	Adriely	Teodoro	f	1	39	SE	2	0	05	2024
61	456.567.060-89	Adriele	Tadeu	Feminino	1	39	SE	2	0	05	2024
62	567.678.061-90	Afrodite	Tostes	Feminino	4	55	PI	6	0	05	2024
63	678.789.062-01	Aglaia	Taveira	Agenero	2	44	SE	7	0	05	2024
64	789.890.063-12	Agueda	Taborda	Feminino	2	65	CE	4	0	05	2024
65	890.901.064-23	Águeda	Taques	Feminino	3	33	BA	5	0	05	2024
66	901.012.065-34	Beatriz	Talarico	Feminino	1	47	RN	7	0	05	2024
67	012.123.066-45	Bruna	Tibúrcio	Feminino	4	57	AL	3	0	05	2024
68	123.234.067-56	Bianca	Tonelli	Feminino	2	30	MA	6	0	05	2024
69	234.345.068-67	Barbara	Tostes	Feminino	5	85	PB	7	0	05	2024
70	345.456.069-78	Bela	Teixeira	Feminino	6	27	SE	1	0	05	2024
71	567.678.070-90	Brígida	Trindade	Feminino	3	62	PE	7	0	05	2024
72	678.789.071-01	Betina	Taveira	Feminino	4	74	CE	6	0	05	2024
73	789.890.072-12	Benedita	Toledo	Feminino	1	56	PI	3	0	05	2024
74	890.901.073-23	Branca	Tomaz	Bigênero	2	22	RN	11	0	05	2024
75	901.012.074-34	Brenda	Teodoro	Bigênero	5	91	BA	9	0	05	2024
76	012.123.075-45	Bruna	Torres	Bigênero	4	38	PB	6	0	05	2024
77	123.234.076-56	Betânia	Tavares	Bigênero	2	38	PB	6	0	05	2024
78	234.345.077-67	Bárbara	Terra	Bigênero	4	38	PB	6	0	05	2024
79	345.456.078-78	Brisa	Teles	Bigênero	2	59	SE	7	0	05	2024
80	456.567.079-89	Branca	Três	Feminino	4	38	PB	6	0	05	2024
81	567.678.080-90	Bianca	Tadeu	Feminino	4	38	PB	6	0	05	2024
